Iteration	1	2	3	4	5	simmap
107400	{3,0.709197:5,0.0795798:3,0.0490109:5,0.490233:7,1.23512:5,0.407581:3,0.557955}	{4,0.376223:1,0.801072:5,2.40484:3,0.295222}	{4,0.153175:1,1.38257:5,0.939691:3,1.05324}	{3,0.348678}	{3,0}	((n1:{4,0.153175:1,1.38257:5,0.939691:3,1.05324},n2:{3,0.709197:5,0.0795798:3,0.0490109:5,0.490233:7,1.23512:5,0.407581:3,0.557955}):{3,0.348678},n0:{4,0.376223:1,0.801072:5,2.40484:3,0.295222});
107500	{3,2.43236:6,0.321968:3,0.263205}	{4,0.309749:1,0.306796:4,0.090811:7,0.339123:4,1.1397:7,0.215659:5,0.600603:3,0.0150853}	{4,0.950028:7,0.135498:5,2.52072:3,0.134243}	{3,0.722962}	{3,0}	((n0:{4,0.309749:1,0.306796:4,0.090811:7,0.339123:4,1.1397:7,0.215659:5,0.600603:3,0.0150853},n2:{3,2.43236:6,0.321968:3,0.263205}):{3,0.722962},n1:{4,0.950028:7,0.135498:5,2.52072:3,0.134243});
107600	{3,0.288977:5,1.5288:3,0.606903:5,0.184748:3,0.363886}	{4,0.601645:7,1.02776:6,0.440214:3,0.903694}	{4,0.0624976:7,0.0582144:4,0.803384:7,0.205743:5,0.192539:3,1.95449}	{3,0.303558}	{3,0}	((n0:{4,0.601645:7,1.02776:6,0.440214:3,0.903694},n2:{3,0.288977:5,1.5288:3,0.606903:5,0.184748:3,0.363886}):{3,0.303558},n1:{4,0.0624976:7,0.0582144:4,0.803384:7,0.205743:5,0.192539:3,1.95449});
107700	{3,1.56889}	{4,0.912733:1,0.245536:5,0.410626}	{4,0.356344:2,0.248029:4,0.0519482:1,0.577995:5,0.308298:3,1.78077}	{5,0.683299:3,1.07119}	{3,0}	((n0:{4,0.912733:1,0.245536:5,0.410626},n2:{3,1.56889}):{5,0.683299:3,1.07119},n1:{4,0.356344:2,0.248029:4,0.0519482:1,0.577995:5,0.308298:3,1.78077});
107800	{3,1.98664}	{4,0.107125:2,0.480985:6,0.802882:3,0.595649}	{4,0.403218:7,0.71728:6,1.52871:3,0.378032}	{3,1.0406}	{3,0}	((n2:{3,1.98664},n0:{4,0.107125:2,0.480985:6,0.802882:3,0.595649}):{3,1.0406},n1:{4,0.403218:7,0.71728:6,1.52871:3,0.378032});
107900	{3,1.15694:5,0.522167:3,0.399568:5,0.256759:3,0.255076}	{4,0.650997:7,0.294038:5,0.202639:3,1.44284}	{4,0.349929:7,0.158517:5,0.147635:3,2.78109}	{3,0.846664}	{3,0}	((n2:{3,1.15694:5,0.522167:3,0.399568:5,0.256759:3,0.255076},n0:{4,0.650997:7,0.294038:5,0.202639:3,1.44284}):{3,0.846664},n1:{4,0.349929:7,0.158517:5,0.147635:3,2.78109});
108000	{3,0.930927:6,0.806388:3,0.325521:6,0.253196:3,0.372479}	{4,1.81812:2,0.693247:6,0.131796:3,0.045346}	{4,0.213013:2,0.833151:6,0.0540472:3,0.375898:6,0.30933:3,0.630043:6,0.223913:7,0.0967072:5,0.00235838:3,0.120854:6,0.132409:3,0.656603}	{3,0.217649:6,0.650276:3,0.0918904}	{3,0}	((n2:{3,0.930927:6,0.806388:3,0.325521:6,0.253196:3,0.372479},n0:{4,1.81812:2,0.693247:6,0.131796:3,0.045346}):{3,0.217649:6,0.650276:3,0.0918904},n1:{4,0.213013:2,0.833151:6,0.0540472:3,0.375898:6,0.30933:3,0.630043:6,0.223913:7,0.0967072:5,0.00235838:3,0.120854:6,0.132409:3,0.656603});
108100	{3,0.14848:6,0.0974277:2,0.819895:4,0.685486:1,1.61707:5,0.16952}	{4,0.528879:7,0.635791:6,0.347209:3,2.32411}	{4,0.454252:1,0.704046:5,2.26139:1,0.118195}	{5,0.197307:3,0.100805}	{3,0}	((n2:{3,0.14848:6,0.0974277:2,0.819895:4,0.685486:1,1.61707:5,0.16952},n1:{4,0.454252:1,0.704046:5,2.26139:1,0.118195}):{5,0.197307:3,0.100805},n0:{4,0.528879:7,0.635791:6,0.347209:3,2.32411});
108200	{3,0.833334:6,0.484376:3,0.0129608:6,0.0609686:3,1.73215}	{4,2.32223:7,0.252301:5,0.405231:3,0.220733:5,0.486407:3,0.131766}	{4,0.185101:1,0.428745:5,1.29538:3,1.21456}	{3,0.694883}	{3,0}	((n2:{3,0.833334:6,0.484376:3,0.0129608:6,0.0609686:3,1.73215},n1:{4,0.185101:1,0.428745:5,1.29538:3,1.21456}):{3,0.694883},n0:{4,2.32223:7,0.252301:5,0.405231:3,0.220733:5,0.486407:3,0.131766});
108300	{3,0.592693:6,0.390934:3,1.81722:5,0.314857:3,0.0136662}	{4,0.895296:1,1.56866:5,0.142289:7,0.353:5,0.350453:3,0.367975}	{4,0.209852:7,0.137923:5,0.291807:3,2.48979}	{3,0.5483}	{3,0}	((n1:{4,0.209852:7,0.137923:5,0.291807:3,2.48979},n2:{3,0.592693:6,0.390934:3,1.81722:5,0.314857:3,0.0136662}):{3,0.5483},n0:{4,0.895296:1,1.56866:5,0.142289:7,0.353:5,0.350453:3,0.367975});
