Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
2400	-17404.07	-17384.65	-19.41355	5.168968	0.260344	0.246125	0.247439	0.246092	0.004408428	0.124041	0.130965	1.85728	2.81661	0.000822887	0.000868827	0.0123212	0.0186854	0.484377	0.515623	0.07037218	0.01696958	2.95444	0.821588	0	0.5439536	3.7051	1	1	1	1.506668	0.5156234	0.4843766	96.63011	0.006634018	3.7051	0.508947	0.807899	1.083	1.60016
2500	-17399.72	-17384.16	-15.56463	12.50477	0.254428	0.244267	0.24047	0.260835	0.1765826	0.127221	0.125983	2.45229	0.627191	0.000846729	0.000838493	0.0163215	0.00417433	0.157471	0.842529	0.0006367001	0.0223607	2.67912	0.835293	0	0.4697179	3.972742	1	1	1	1.488176	0.8425287	0.1574713	59.31745	0.0066556	3.972742	0.66689	0.886845	1.06769	1.37858
2600	-17391.4	-17377.23	-14.17097	36.77878	0.2521	0.246936	0.251396	0.249567	0.01485439	0.1019	0.166637	2.33561	1.028	0.000666838	0.00109048	0.0152843	0.00672723	0.851712	0.148288	0.002282578	0.0197754	3.08131	0.938437	0	1.219695	3.855101	1	1	1	1.357753	0.1482884	0.8517116	78.30126	0.006544015	3.855101	0.798879	0.938983	1.0455	1.21663
2700	-17395.49	-17380.61	-14.87808	28.32435	0.25741	0.249127	0.248529	0.244935	0.1303907	0.0895527	0.0916046	1.57087	0.996563	0.000869463	0.000889384	0.0152515	0.00967559	0.222049	0.777951	0.05697476	0.01563964	3.05879	1.09941	0	0.5870959	3.727564	1	1	1	1.239083	0.7779512	0.2220488	98.87729	0.009708954	3.727564	0.772292	0.929337	1.05053	1.24784
2800	-17398.65	-17377.67	-20.9868	18.84778	0.252259	0.246649	0.255155	0.245937	0.3232874	0.034966	0.0486207	0.83255	1.00311	0.000454329	0.000631751	0.0108177	0.0130338	0.618811	0.381189	0.1555046	0.005326769	3.4185	0.833164	0	1.137171	3.951151	1	1	1	1.381946	0.3811888	0.6188112	18.12532	0.01299346	3.951151	0.724278	0.910857	1.05892	1.30594
2900	-17394.28	-17378.88	-15.40461	45.95147	0.245429	0.252802	0.25352	0.248249	0.1278516	0.0302891	0.0596997	0.86615	0.636417	0.000542799	0.00106986	0.0155219	0.011405	0.777789	0.222211	0.008549854	0.002698225	3.05719	1.00663	0	0.3387301	3.341806	1	1	1	1.214031	0.2222108	0.7777892	97.46501	0.01792062	3.341806	0.819212	0.946092	1.04149	1.19321
3000	-17393.32	-17376.75	-16.56067	28.99386	0.249298	0.249657	0.25365	0.247395	0.1472287	0.0387279	0.0693933	1.80925	0.879741	0.000388624	0.000696344	0.0181553	0.00882798	0.460053	0.539947	0.007326947	0.01522919	2.94791	1.00272	0	1.895697	3.533927	1	1	1	1.362065	0.5399471	0.4600529	40.13097	0.01003474	3.533927	0.774797	0.930263	1.05007	1.24487
3100	-17399.58	-17385.26	-14.32152	12.88504	0.247495	0.254367	0.246334	0.251804	0.1162444	0.203415	0.112642	2.80909	0.203375	0.00166035	0.000919429	0.0229289	0.00166003	0.237758	0.762242	0.08587507	0.002537736	3.05965	0.873742	0	1.060931	3.082314	1	1	1	1.233983	0.7622417	0.2377583	55.93307	0.008162379	3.082314	0.671408	0.888816	1.06705	1.37272
3200	-17390.77	-17377.81	-12.95114	17.70965	0.248155	0.245101	0.254888	0.251856	0.1503455	0.102096	0.181828	3.66109	0.279909	0.000509391	0.000907204	0.0182665	0.00139656	0.117907	0.882093	0.02348237	0.005213642	2.99511	0.987811	0	0.7784418	3.741256	1	1	1	1.225271	0.882093	0.117907	46.02543	0.004989343	3.741256	0.716175	0.907597	1.06025	1.31598
3300	-17391.66	-17376.58	-15.08016	42.31243	0.251555	0.247444	0.253485	0.247515	0.1006448	0.216832	0.393329	8.89428	0.281834	0.000452662	0.00082112	0.0185678	0.000588361	0.135245	0.864755	0.06546705	0.01480507	3.0724	1.05948	0	0.8144246	3.963512	1	1	1	1.266684	0.8647548	0.1352452	32.66559	0.002087615	3.963512	0.811916	0.943567	1.04295	1.20157
