Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
3300	-17622.95	-17611.63	-11.31923	17.23674	0.261375	0.235628	0.246689	0.256309	0.07428499	0.466805	0.451968	2.01488	3.18937	0.00306863	0.00297109	0.0132452	0.0209659	0.131385	0.868615	0.03285112	0.736465	0.744982	0	1.038907	3.886383	1	1	1	2.08974	0.8686154	0.1313846	0.006573676	3.886383	0.712587	0.906141	1.06083	1.32045
3400	-17616.07	-17603.79	-12.27981	7.275393	0.245824	0.247587	0.250259	0.25633	0.05912727	1.09069	0.935301	3.84486	0.534921	0.00348404	0.00298768	0.0122818	0.00170873	0.135814	0.864186	0.1230832	3.36074	2.84105	0	0.8831776	3.824965	1	1	1	2.162547	0.8641858	0.1358142	0.003194355	3.824965	0.57577	0.843855	1.07831	1.50206
3500	-17618.07	-17603.52	-14.55315	33.44408	0.249313	0.254521	0.248763	0.247402	0.09125953	0.49486	0.853366	4.18844	0.172819	0.00238045	0.00410498	0.0201479	0.00083132	0.106045	0.893955	0.2473155	2.13659	0.377737	0	1.371826	3.993059	1	1	1	2.057624	0.8939555	0.1060445	0.004810347	3.993059	0.78956	0.935648	1.04729	1.2275
3600	-17618.15	-17602.8	-15.34606	15.22064	0.250751	0.251792	0.248873	0.248583	0.01674431	0.626681	1.18821	5.01987	0.950674	0.00225626	0.00427794	0.0180732	0.00342274	0.0666772	0.933323	0.07731899	2.01703	0.47669	0	2.057584	3.578047	1	1	1	2.165003	0.9333228	0.0666772	0.003600328	3.578047	0.695576	0.899121	1.06349	1.34181
3700	-17616.69	-17605.17	-11.51264	22.13154	0.248228	0.253117	0.248588	0.250067	0.2005731	0.611577	0.673661	2.92204	0.170869	0.00312229	0.00343924	0.0149179	0.000872338	0.0550566	0.944943	0.07495702	2.51317	2.77122	0	1.02079	3.561742	1	1	1	2.395503	0.9449434	0.0550566	0.005105305	3.561742	0.744218	0.918702	1.05555	1.28153
3800	-17611.84	-17604.21	-7.63519	8.452774	0.252486	0.242175	0.253794	0.251545	0.09447484	0.520691	0.533739	2.22736	0.0831626	0.0034201	0.0035058	0.0146302	0.000546244	0.0109199	0.98908	0.005877458	2.36025	3.1113	0	0.6965653	3.379853	1	1	1	1.918946	0.9890801	0.01091988	0.006568377	3.379853	0.602821	0.857293	1.07562	1.46426
3900	-17618.19	-17606.73	-11.45685	48.99679	0.242527	0.252317	0.250941	0.254215	0.06481216	0.290615	0.406548	2.20019	0.324923	0.0021443	0.00299971	0.016234	0.00239744	0.05155	0.94845	0.1395941	1.45218	0.176587	0	2.1316	3.807022	1	1	1	1.768226	0.94845	0.05155	0.007378481	3.807022	0.8247	0.947972	1.04038	1.18695
4000	-17613.64	-17603.08	-10.5662	4.176616	0.25223	0.248684	0.249805	0.249281	0.1133913	0.115595	0.462907	2.10341	2.56747	0.000763474	0.00305738	0.0138925	0.0169574	0.176229	0.823771	0.002438334	2.31676	0.267845	0	0.8729624	3.787366	1	1	1	2.213366	0.8237709	0.1762291	0.006604728	3.787366	0.463809	0.781103	1.08433	1.67075
4100	-17615.53	-17604.53	-11.00814	7.143255	0.251574	0.244317	0.252186	0.251923	0.2131067	0.0876567	0.479858	2.08168	1.50758	0.000715826	0.00391864	0.0169995	0.0123112	0.0441562	0.955844	0.04201106	2.33263	1.14732	0	0.5791893	3.480442	1	1	1	1.841286	0.9558438	0.04415621	0.008166245	3.480442	0.572369	0.842122	1.07862	1.50689
4200	-17612.25	-17603.08	-9.16876	25.42098	0.246283	0.251288	0.246965	0.255464	0.1423137	0.421455	0.40959	1.91956	0.395673	0.00298665	0.00290257	0.013603	0.00280394	0.0379944	0.962006	0.08941628	2.13155	1.39172	0	0.8983167	3.649245	1	1	1	2.093884	0.9620056	0.03799441	0.007086521	3.649245	0.760355	0.924872	1.0527	1.26207
4300	-17614.77	-17603.37	-11.39861	29.20569	0.247375	0.252657	0.252216	0.247752	0.03540027	0.727283	0.726852	3.04034	1.44831	0.00322283	0.00322092	0.0134728	0.00641793	0.539466	0.460534	0.0362993	3.09652	1.13879	0	1.341168	3.584061	1	1	1	2.014808	0.4605345	0.5394655	0.004431333	3.584061	0.775572	0.930549	1.04992	1.24395
4400	-17614.64	-17606.08	-8.552241	17.31788	0.247688	0.257286	0.245604	0.249422	0.0318379	0.669353	0.670699	2.47375	0.307813	0.00369066	0.00369808	0.0136397	0.00169721	0.321816	0.678184	0.008841383	1.58883	0.341979	0	1.096085	3.793495	1	1	1	2.214806	0.6781843	0.3218157	0.005513766	3.793495	0.713213	0.906395	1.06073	1.31967
4500	-17615.32	-17602.99	-12.33776	22.9905	0.253813	0.249044	0.245943	0.251201	0.1664571	1.08114	1.22387	2.56188	0.839897	0.00453311	0.00513156	0.0107417	0.00352161	0.986465	0.013535	0.002440908	2.06016	3.48834	0	1.62479	3.90663	1	1	1	2.046354	0.013535	0.986465	0.004192902	3.90663	0.748748	0.92045	1.05476	1.27604
4600	-17614.83	-17605.27	-9.554108	8.02674	0.252262	0.240525	0.251369	0.255844	0.07838442	1.00456	0.960512	3.18969	0.312526	0.00419642	0.00401242	0.0133245	0.00130554	0.36082	0.63918	8.334836e-05	1.83651	0.503916	0	0.8378823	3.687812	1	1	1	2.305043	0.6391803	0.3608197	0.004177372	3.687812	0.593653	0.852806	1.07658	1.47696
