Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
2500	-17395.36	-17376.74	-18.61867	39.28742	0.249007	0.240955	0.258206	0.251832	0.1359907	0.401397	0.970915	5.77524	0.189487	0.00145062	0.00350882	0.0208713	0.000684791	0.858392	0.141608	0.04894426	0.02499414	0.474236	0	0.8187338	3.431721	1	1	1.498761	0.1416079	0.8583921	71.98701	0.003613929	3.431721	0.805119	0.941189	1.04429	1.20941
2600	-17392.05	-17373.47	-18.58361	6.448465	0.251592	0.246748	0.248181	0.253479	0.03891713	0.316591	0.827987	3.29042	1.63856	0.00166214	0.00434702	0.0172751	0.0086026	0.559987	0.440013	0.05380524	0.0008151341	0.315028	0	1.402027	3.194436	1	1	1.195045	0.4400134	0.5599866	38.65263	0.005250111	3.194436	0.552997	0.832061	1.08024	1.53471
2700	-17396.1	-17375.27	-20.82476	11.2644	0.253058	0.254214	0.243972	0.248756	0.3277173	0.448269	1.27585	2.14515	1.62175	0.00260823	0.0074235	0.0124815	0.0094361	0.173565	0.826435	0.0303745	0.02342641	0.153371	0	0.5669762	3.498564	1	1	1.45698	0.826435	0.173565	74.04149	0.005818461	3.498564	0.650714	0.87967	1.06989	1.39973
2800	-17395.73	-17378.65	-17.07558	2.02076	0.247086	0.239841	0.250766	0.262307	0.1309413	0.430845	0.677735	2.0959	0.170213	0.00379807	0.00597449	0.0184762	0.00150049	0.266623	0.733377	0.1858163	0.01135475	0.131882	0	1.007933	3.985769	1	1	1.46897	0.7333769	0.2666231	14.52298	0.008815387	3.985769	0.29574	0.657203	1.0705	1.97656
2900	-17393.98	-17379.85	-14.12622	0.9525367	0.242972	0.246087	0.2578	0.25314	0.2013695	0.404188	0.723481	2.53397	0.510009	0.00247126	0.00442345	0.015493	0.00311826	0.333856	0.666144	0.1053423	0.004104022	0.939008	0	0.5453957	3.898029	1	1	1.420118	0.6661445	0.3338555	1.097754	0.006114123	3.898029	0.127389	0.462005	0.991668	2.41894
3000	-17394.32	-17375.58	-18.73577	7.98144	0.251667	0.249725	0.241748	0.25686	0.04299397	0.191587	0.268254	1.58568	2.77969	0.00100741	0.00141054	0.00833786	0.0146162	0.794897	0.205103	0.1401413	0.01367792	0.231905	0	0.9715935	3.704997	1	1	1.249676	0.2051034	0.7948966	73.28575	0.005258223	3.704997	0.592639	0.852305	1.07669	1.47837
3100	-17397.76	-17381.52	-16.24075	47.38925	0.245458	0.249003	0.252719	0.25282	0.1762352	0.221606	0.290823	0.983641	1.86743	0.00186725	0.00245047	0.00828814	0.0157349	0.800885	0.199115	0.05392545	0.02831125	0.306312	0	0.9031665	3.331458	1	1	1.731535	0.1991148	0.8008852	28.6567	0.008425982	3.331458	0.821867	0.947003	1.04095	1.19018
3200	-17391.33	-17371.83	-19.5034	12.05278	0.254555	0.246902	0.247744	0.250799	0.02189811	0.0892352	0.267676	2.35371	2.04774	0.00053186	0.0015954	0.0140286	0.0122049	0.630468	0.369532	0.1505086	0.01169261	0.428676	0	0.8331722	3.319146	1	1	1.312636	0.3695316	0.6304684	57.20502	0.005960204	3.319146	0.661264	0.88437	1.06847	1.3859
3300	-17389.94	-17375.92	-14.02046	23.0348	0.249599	0.251705	0.251859	0.246837	0.1166206	0.130828	0.437997	0.741772	1.66018	0.00124707	0.00417505	0.00707069	0.0158251	0.439626	0.560374	0.1251969	0.001373887	0.232051	0	0.5257725	3.835207	1	1	1.210494	0.5603744	0.4396256	3.78167	0.009532154	3.835207	0.748975	0.920537	1.05472	1.27577
3400	-17390.53	-17373.52	-17.00704	5.127181	0.245045	0.253966	0.245957	0.255031	0.1715877	0.169777	0.359036	0.935952	3.97114	0.00100807	0.00213181	0.00555728	0.023579	0.345701	0.654299	0.006246865	0.02051284	0.311802	0	0.9018453	3.047062	1	1	1.302189	0.6542986	0.3457014	51.84641	0.005937577	3.047062	0.507276	0.806945	1.08307	1.60271
