Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5
27600	1	2	3	1	1	3	3	1	3	3
27700	2	2	1	1	3	3	3	4	3	3
27800	2	2	2	1	3	3	3	2	3	3
27900	4	2	1	1	3	3	3	4	3	3
28000	2	2	2	1	3	3	3	2	3	3
28100	2	2	2	1	3	3	3	2	3	3
28200	2	2	2	1	3	3	3	2	3	3
28300	2	2	2	1	3	3	3	2	3	3
28400	2	2	2	1	3	3	3	2	3	3
28500	1	2	1	1	3	3	3	1	3	3
28600	1	2	1	1	3	3	3	1	3	3
28700	1	2	1	1	3	3	3	1	3	3
28800	3	2	1	1	1	3	3	1	3	3
28900	1	2	1	1	3	3	3	1	3	3
29000	1	2	3	1	5	3	3	5	3	3
29100	3	2	2	1	2	3	3	2	3	3
29200	3	2	3	1	3	3	3	3	3	3
29300	3	2	1	1	3	3	3	5	3	3
29400	3	2	3	1	3	3	3	3	3	3
29500	2	2	2	1	3	3	3	2	3	3
29600	2	2	2	1	3	3	3	2	3	3
29700	1	2	1	1	3	3	3	1	3	3
29800	1	2	1	1	3	3	3	1	3	3
29900	1	2	1	1	3	3	3	1	3	3
30000	1	2	1	1	3	3	3	1	3	3
30100	4	2	2	1	3	3	3	4	3	3
30200	2	2	2	1	3	3	3	2	3	3
30300	2	2	2	1	3	3	3	2	3	3
30400	2	2	2	1	3	3	3	2	3	3
30500	1	2	1	1	3	3	3	1	3	3
30600	2	2	2	1	3	3	3	2	3	3
30700	1	2	1	1	3	3	3	1	3	3
30800	1	2	1	1	3	3	3	1	3	3
30900	2	2	2	1	3	3	3	2	3	3
31000	2	2	2	1	3	3	3	2	3	3
31100	2	2	2	1	3	3	3	2	3	3
31200	1	2	1	1	3	3	3	1	3	3
31300	1	2	1	1	3	3	3	1	3	3
31400	1	2	1	1	3	3	3	1	3	3
31500	2	2	2	1	3	3	3	2	3	3
31600	2	2	2	1	3	3	3	2	3	3
31700	2	2	2	1	3	3	3	2	3	3
31800	2	2	2	1	3	3	3	2	3	3
31900	2	2	2	1	3	3	3	2	3	3
32000	1	2	1	1	3	3	3	1	3	3
32100	2	2	2	1	3	3	3	2	3	3
32200	2	2	2	1	3	3	3	2	3	3
32300	2	2	2	1	3	3	3	2	3	3
32400	1	2	1	1	3	3	3	1	3	3
32500	2	2	2	1	3	3	3	2	3	3
32600	2	2	2	1	3	3	3	2	3	3
32700	2	2	2	1	3	3	3	2	3	3
32800	2	2	2	1	3	3	3	2	3	3
32900	2	2	2	1	3	3	3	2	3	3
33000	2	2	2	1	3	3	3	2	3	3
