Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
3300	-17384.29	-17375.24	-9.046395	37.38481	0.247672	0.248919	0.252756	0.250653	0.2273983	0.196365	0.598038	0.311334	3.85641	0.0013659	0.00415992	0.00216562	0.0268249	0.0752272	0.924773	0.02336434	0.745426	0.360262	0	0.5881368	3.109808	1	1	1	1.420711	0.9247728	0.07522721	0.006955939	3.109808	0.800442	0.939538	1.0452	1.21482
3400	-17382.25	-17374.78	-7.479233	3.520536	0.257091	0.245197	0.247776	0.249935	0.04671016	0.179164	0.343148	0.0980861	4.01586	0.00115246	0.00220729	0.000630935	0.0258318	0.297087	0.702913	0.005061047	3.34429	1.46293	0	0.5259191	3.494468	1	1	1	1.445389	0.7029128	0.2970872	0.006432454	3.494468	0.425912	0.756805	1.08411	1.73317
3500	-17387.02	-17378.67	-8.347005	12.7099	0.243162	0.256675	0.248984	0.251179	0.1141223	0.230661	0.633673	0.48449	4.49143	0.000909912	0.00249972	0.00191122	0.0177178	0.591375	0.408625	0.001755443	2.355	1.97247	0	1.095176	3.984799	1	1	1	1.450022	0.4086249	0.5913751	0.003944801	3.984799	0.669351	0.88792	1.06734	1.37539
3600	-17385.77	-17374.1	-11.67111	45.54173	0.250812	0.247253	0.250345	0.25159	0.0366771	0.515055	1.6135	1.0208	5.6931	0.00156222	0.00489392	0.00309621	0.0172678	0.264772	0.735228	0.06276024	2.25432	1.94596	0	0.7518781	3.721679	1	1	1	1.405304	0.7352276	0.2647724	0.003033117	3.721679	0.818433	0.945824	1.04164	1.1941
3700	-17383.63	-17374.2	-9.42877	42.59792	0.246829	0.25118	0.248618	0.253373	0.02478615	0.209562	0.245324	1.36502	4.33988	0.000956031	0.00111918	0.00622729	0.0197987	0.944023	0.0559773	0.04023379	2.02039	0.132447	0	0.973382	3.638073	1	1	1	1.357386	0.05597734	0.9440227	0.004562045	3.638073	0.81252	0.943778	1.04282	1.20088
3800	-17385.9	-17375.67	-10.2281	38.50043	0.245352	0.246943	0.251216	0.256488	0.213202	0.277989	1.0136	0.190582	3.81651	0.00144621	0.00527315	0.00099149	0.0198551	0.749128	0.250872	0.00270962	3.16254	1.19061	0	1.411846	3.993482	1	1	1	1.418392	0.2508719	0.7491281	0.005202418	3.993482	0.803225	0.940522	1.04466	1.2116
3900	-17390.14	-17376.75	-13.39069	34.26996	0.257086	0.241703	0.257746	0.243464	0.07751036	0.149335	0.170947	3.2172	3.99211	0.000574696	0.00065787	0.012381	0.0153632	0.815165	0.184835	0.1330094	1.86654	0.406298	0	1.450178	3.631692	1	1	1	1.35201	0.1848348	0.8151652	0.003848379	3.631692	0.791989	0.936522	1.04683	1.22466
4000	-17389.27	-17376.92	-12.34801	25.46528	0.251105	0.247718	0.241875	0.259302	0.07210139	0.166423	0.48508	2.43511	6.79058	0.000542136	0.00158019	0.00793257	0.0221209	0.0279071	0.972093	0.07159641	0.425336	2.42847	0	1.031887	3.037111	1	1	1	1.401713	0.9720929	0.02790705	0.003257585	3.037111	0.760552	0.924947	1.05267	1.26184
4100	-17390.34	-17378.86	-11.47969	27.54514	0.252319	0.247187	0.250428	0.250066	0.1450421	0.114531	0.072452	1.42351	5.48625	0.000555304	0.000351284	0.00690192	0.0266001	0.28995	0.71005	0.02360248	1.26587	1.60698	0	0.8485113	3.676945	1	1	1	1.544556	0.71005	0.28995	0.004848511	3.676945	0.769266	0.928213	1.05109	1.25143
4200	-17385.16	-17376.26	-8.901158	40.7382	0.248827	0.241562	0.257137	0.252475	0.1067738	0.1297	0.423861	0.37853	5.03109	0.000634923	0.00207493	0.00185302	0.0246287	0.181549	0.818451	0.06540372	1.29758	0.634729	0	0.8284644	3.313203	1	1	1	1.416017	0.8184509	0.1815491	0.004895307	3.313203	0.80847	0.942365	1.04363	1.20554
