Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
2400	-17389.96	-17374.64	-15.32179	23.27777	0.247109	0.248723	0.25186	0.252307	0.1408529	0.0825186	0.182899	4.6757	0.097815	0.000351069	0.000778128	0.0198924	0.000416146	0.744764	0.255236	0.008121603	0.01197819	3.02503	2.05461	0	1.900616	3.705527	1	1	1	1.064603	0.2552365	0.7447635	82.55299	0.00425442	3.705527	0.75021	0.921011	1.0545	1.27428
2500	-17393.53	-17375.99	-17.53518	19.0877	0.245291	0.244324	0.256252	0.254134	0.08877174	0.100224	0.188318	4.78248	1.47986	0.000419341	0.000787933	0.0200102	0.00619182	0.731572	0.268428	0.05165814	0.0003317836	3.28116	1.92898	0	1.135154	3.489623	1	1	1	1.099904	0.268428	0.731572	17.38192	0.00418405	3.489623	0.725898	0.911503	1.05866	1.30394
2600	-17389.97	-17373.49	-16.47804	30.65878	0.253865	0.250599	0.251548	0.243988	0.04617399	0.0624508	0.170855	3.97808	0.874046	0.000313363	0.000857307	0.019961	0.00438575	0.0723869	0.927613	0.1409313	0.01996495	2.98867	2.02328	0	1.298422	3.586645	1	1	1	1.272965	0.9276131	0.07238692	83.15073	0.005017751	3.586645	0.780681	0.932424	1.04897	1.23792
2700	-17385.58	-17372.8	-12.7795	31.51477	0.252456	0.241759	0.253275	0.25251	0.08557079	0.0506944	0.136424	3.71471	0.203423	0.000280345	0.000754438	0.0205427	0.00112495	0.343039	0.656961	0.06760073	0.006758361	2.95776	1.95214	0	0.5888263	3.56979	1	1	1	1.441398	0.656961	0.343039	23.27652	0.005530095	3.56979	0.78353	0.933464	1.04844	1.23457
2800	-17388.51	-17374.77	-13.73779	46.77271	0.252764	0.241336	0.251804	0.254095	0.03301019	0.067633	0.108747	4.1064	0.287643	0.000382064	0.000614318	0.0231974	0.00162492	0.501903	0.498097	0.004199277	0.008360257	3.11533	1.88087	0	0.4698408	3.26763	1	1	1	1.115221	0.4980974	0.5019026	60.75747	0.005649076	3.26763	0.820743	0.946618	1.04118	1.19146
2900	-17388.43	-17373.21	-15.21687	38.9109	0.252225	0.249593	0.24616	0.252022	0.06002516	0.161017	0.213068	5.99079	1.18347	0.000544712	0.000720801	0.0202666	0.00400361	0.566874	0.433126	0.1187692	0.01219544	2.95327	2.04754	0	1.141006	3.458102	1	1	1	1.296206	0.4331257	0.5668743	25.68289	0.003382954	3.458102	0.80422	0.940873	1.04446	1.21044
3000	-17389.32	-17373.52	-15.80121	34.67547	0.256283	0.247566	0.24932	0.24683	0.1288308	0.0748888	0.0881109	7.51198	0.278449	0.000233913	0.000275212	0.0234634	0.000869726	0.867445	0.132555	0.03014435	0.01217326	2.84818	1.95623	0	0.700099	3.151255	1	1	1	1.402925	0.1325555	0.8674445	53.45706	0.003123467	3.151255	0.793152	0.93694	1.04661	1.2233
3100	-17393.78	-17374.51	-19.265	12.18524	0.24567	0.254147	0.252916	0.247267	0.03882993	0.0454805	0.069343	2.86904	0.321232	0.00034214	0.000521652	0.0215832	0.00241656	0.83513	0.16487	0.1919418	0.008862683	2.87334	1.80725	0	1.4056	3.505293	1	1	1	1.137092	0.1648696	0.8351304	44.70714	0.00752278	3.505293	0.662943	0.885111	1.06824	1.38371
3200	-17394.79	-17375.14	-19.65587	19.37908	0.246641	0.248161	0.254435	0.250764	0.05924554	0.0287036	0.0456365	2.11388	1.31619	0.000271129	0.000431075	0.0199674	0.0124326	0.670209	0.329791	0.1551571	0.001985359	3.10885	1.88952	0	0.7994657	3.661213	1	1	1	1.523437	0.3297915	0.6702085	81.1658	0.009445837	3.661213	0.727827	0.912271	1.05833	1.30157
3300	-17390.12	-17372.48	-17.64681	46.65344	0.254182	0.2461	0.247827	0.251891	0.1367306	0.0980659	0.142435	4.3841	0.9079	0.000482489	0.000700785	0.02157	0.00446691	0.749601	0.250399	0.05222804	0.02295987	2.92899	1.78768	0	1.140479	3.198508	1	1	1	1.377601	0.2503994	0.7496006	96.21166	0.004920046	3.198508	0.820523	0.946542	1.04122	1.19171
3400	-17392.18	-17374.96	-17.21622	45.92968	0.256832	0.245437	0.255963	0.241767	0.3921153	0.12814	0.22439	7.40671	0.435537	0.000380245	0.000665859	0.0219788	0.00129242	0.80047	0.19953	0.0238359	0.01992552	2.98462	2.02421	0	0.9187908	3.301224	1	1	1	1.302644	0.1995295	0.8004705	37.46856	0.002967423	3.301224	0.81917	0.946078	1.0415	1.19326
3500	-17387.91	-17372.5	-15.41313	35.64386	0.251659	0.244553	0.253801	0.249988	0.1473199	0.0697204	0.0920008	4.07693	0.403738	0.000370465	0.000488854	0.0216631	0.0021453	0.766022	0.233978	0.1068915	0.005826928	2.88728	2.08757	0	0.7623638	3.518019	1	1	1	1.222969	0.2339784	0.7660216	41.35506	0.005313587	3.518019	0.795849	0.937905	1.04609	1.22016
3600	-17387.34	-17372.96	-14.37938	39.92668	0.251866	0.24978	0.249429	0.248925	0.09696304	0.0600646	0.0730946	3.43877	0.283749	0.000331317	0.000403191	0.0189683	0.00156516	0.0137569	0.986243	0.02080766	0.01121853	3.09064	1.99896	0	1.49855	3.959325	1	1	1	1.396284	0.9862431	0.01375691	41.84945	0.005516013	3.959325	0.806617	0.941716	1.04399	1.20767
3700	-17389.37	-17372.37	-17.00134	18.34296	0.252342	0.250808	0.24605	0.2508	0.08323798	0.0325334	0.0644289	2.76395	0.257603	0.000206133	0.000408224	0.0175125	0.00163219	0.497314	0.502686	0.1622701	0.003584691	3.02486	1.89599	0	0.9973153	3.942813	1	1	1	1.265614	0.5026863	0.4973137	70.88217	0.006336046	3.942813	0.720772	0.909451	1.0595	1.31028
3800	-17385.35	-17371.4	-13.94504	13.21309	0.24925	0.245226	0.253116	0.252408	0.1502414	0.0485563	0.0720697	3.13205	0.204551	0.000306944	0.000455583	0.019799	0.00129305	0.0170263	0.982974	0.04374623	0.008064512	2.92199	2.04585	0	0.4808925	3.619875	1	1	1	1.261527	0.9829737	0.01702627	35.68686	0.00632142	3.619875	0.675159	0.890441	1.06652	1.36788
3900	-17388.82	-17374.77	-14.0557	0.6224887	0.252616	0.242625	0.254079	0.25068	0.1655003	0.114461	0.153321	4.59595	1.30395	0.000492205	0.00065931	0.0197635	0.00560725	0.00398418	0.996016	0.06139983	0.007961709	3.01881	1.91821	0	1.065824	3.727736	1	1	1	1.33131	0.9960158	0.003984179	10.39445	0.004300194	3.727736	0.057777	0.324544	0.892372	2.72531
