Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5
35500	1	4	4	4	3	3	3	4	3	3
35600	2	4	2	4	3	3	3	2	3	3
35700	2	4	2	4	3	3	3	2	3	3
35800	3	4	1	4	3	3	3	5	3	3
35900	2	4	2	4	3	3	3	2	3	3
36000	2	4	2	4	3	3	3	2	3	3
36100	1	4	1	4	3	3	3	1	3	3
36200	3	4	3	4	3	3	3	3	3	3
36300	1	4	1	4	3	3	3	1	3	3
36400	1	4	1	4	3	3	3	1	3	3
36500	2	4	2	4	3	3	3	2	3	3
36600	2	4	4	4	3	3	3	4	3	3
36700	3	4	3	4	3	3	3	3	3	3
36800	2	4	2	4	3	3	3	2	3	3
36900	2	4	2	4	3	3	3	2	3	3
37000	2	4	2	4	3	3	3	2	3	3
37100	1	4	1	4	3	3	3	1	3	3
37200	2	4	2	4	3	3	3	2	3	3
37300	2	4	2	4	3	3	3	2	3	3
37400	2	4	1	4	3	3	3	4	3	3
37500	2	4	2	4	3	3	3	2	3	3
37600	3	4	3	4	3	3	3	3	3	3
37700	2	4	2	4	3	3	3	2	3	3
37800	2	4	2	4	3	3	3	2	3	3
37900	4	4	2	4	3	3	3	4	3	3
38000	3	4	3	4	3	3	3	3	3	3
38100	1	4	1	4	3	3	3	1	3	3
38200	3	4	3	4	3	3	3	3	3	3
38300	2	4	2	4	3	3	3	2	3	3
38400	2	4	2	4	3	3	3	2	3	3
38500	2	4	2	4	3	3	3	2	3	3
38600	1	4	1	4	3	3	3	1	3	3
38700	3	4	3	4	3	3	3	3	3	3
38800	2	4	2	4	3	3	3	2	3	3
38900	1	4	1	4	3	3	3	1	3	3
39000	1	4	1	4	3	3	3	1	3	3
39100	1	4	1	4	3	3	3	1	3	3
39200	1	4	1	4	3	3	3	1	3	3
39300	2	4	2	4	3	3	3	2	3	3
39400	1	4	1	4	3	3	3	1	3	3
39500	7	4	1	4	3	3	3	7	3	3
39600	1	4	1	4	3	3	3	1	3	3
39700	2	4	2	4	3	3	3	2	3	3
39800	2	4	2	4	3	3	3	2	3	3
39900	6	4	2	4	3	3	3	6	3	3
40000	4	4	1	4	3	3	3	4	3	3
40100	2	4	2	4	3	3	3	2	3	3
40200	1	4	1	4	3	3	3	1	3	3
40300	2	4	2	4	3	3	3	2	3	3
40400	5	4	3	4	3	3	3	5	3	3
40500	2	4	2	4	3	3	3	2	3	3
40600	3	4	3	4	3	3	3	3	3	3
40700	4	4	2	4	3	3	3	4	3	3
40800	2	4	2	4	3	3	3	2	3	3
40900	2	4	3	4	3	3	3	6	3	3
41000	1	4	1	4	3	3	3	1	3	3
41100	2	4	2	4	3	3	3	2	3	3
41200	6	4	2	4	3	3	3	6	3	3
41300	3	4	3	4	3	3	3	3	3	3
41400	3	4	3	4	3	3	3	3	3	3
41500	3	4	3	4	3	3	3	3	3	3
41600	2	4	6	4	3	3	3	6	3	3
41700	2	4	2	4	3	3	3	2	3	3
41800	2	4	2	4	3	3	3	2	3	3
41900	2	4	6	4	3	3	3	6	3	3
42000	2	4	2	4	3	3	3	2	3	3
42100	1	4	1	4	3	3	3	1	3	3
42200	3	4	3	4	3	3	3	3	3	3
42300	1	4	1	4	3	3	3	1	3	3
42400	2	4	4	4	3	3	3	4	3	3
42500	2	4	2	4	3	3	3	2	3	3
42600	2	4	2	4	3	3	3	2	3	3
42700	1	4	1	4	3	3	3	1	3	3
42800	2	4	1	4	3	3	3	4	3	3
42900	2	4	2	4	3	3	3	2	3	3
43000	1	4	1	4	3	3	3	1	3	3
43100	3	4	3	4	3	3	3	3	3	3
43200	2	4	3	4	4	3	3	4	3	3
43300	3	4	1	4	1	3	3	1	3	3
43400	2	4	2	4	3	3	3	2	3	3
43500	3	4	3	4	3	3	3	3	3	3
43600	1	4	1	4	3	3	3	1	3	3
43700	2	4	2	4	3	3	3	2	3	3
43800	2	4	2	4	3	3	3	2	3	3
43900	2	4	2	4	3	3	3	2	3	3
44000	1	4	1	4	3	3	3	1	3	3
44100	2	4	2	4	3	3	3	2	3	3
44200	1	4	1	4	3	3	3	1	3	3
44300	2	4	2	4	3	3	3	2	3	3
44400	1	4	1	4	3	3	3	1	3	3
44500	1	4	1	4	3	3	3	1	3	3
44600	3	4	1	4	1	3	3	1	3	3
44700	2	4	1	4	3	3	3	4	3	3
