Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rate_multiplier[5]	branch_rate_multiplier[6]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	ingroup_older_island[4]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
2500	-25839.47	-25814.54	-24.9226	33.01878	0.245731	0.251343	0.249804	0.253121	0.1032548	1.55619	1.98715	0.884832	1.68494	0.69275	0.584783	0.014099	0.0180035	0.00801654	0.0152655	0.00627628	0.00529811	0.37099	0.62901	0.02156747	0.001275492	9.95905	7.90169	2.14875	0	0.8945566	7.769633	0	0	1	1	2.14433	0.6290096	0.3709904	55.0522	0.009059957	8.708473	0.788274	0.935184	1.04754	1.229
2600	-25843.1	-25819.45	-23.65392	13.46161	0.251078	0.250982	0.245267	0.252674	0.08136372	2.42083	2.21283	0.545405	1.01005	0.385637	0.152885	0.0322606	0.0294886	0.00726819	0.0134602	0.00513909	0.00203738	0.0324233	0.967577	0.02823281	0.01037988	9.88628	8.01411	1.87441	0	0.5659581	8.106827	0	1	1	1	2.064749	0.9675767	0.03242332	47.75375	0.01332623	10.03242	0.677916	0.89163	1.06612	1.36434
2700	-25843.11	-25818.53	-24.57352	31.32618	0.247666	0.240081	0.254483	0.25777	0.1026356	2.26971	2.62122	0.533677	0.977015	0.388207	0.540113	0.0314186	0.0362844	0.00738746	0.0135244	0.00537378	0.00747655	0.394513	0.605487	0.03324022	0.008787378	9.85834	8.01602	2.03993	0	1.250231	8.424064	0	1	1	1	1.966039	0.6054873	0.3945127	41.80299	0.01384256	9.622349	0.782912	0.933239	1.04855	1.2353
2800	-25842.13	-25818.92	-23.21243	49.8159	0.249023	0.25405	0.250033	0.246894	0.08680539	2.08537	2.62545	0.475912	0.755776	0.340219	0.584099	0.0378371	0.0476363	0.00863496	0.0137128	0.00617295	0.0105979	0.247461	0.752539	0.01618954	0.001838979	10.0954	7.99408	2.1163	0	0.6179884	7.149752	0	0	1	1	1.933415	0.7525389	0.2474611	71.73306	0.01814404	8.633039	0.826092	0.948446	1.0401	1.18537
2900	-25841.65	-25816.6	-25.05652	23.5367	0.248461	0.246743	0.250857	0.25394	0.164117	1.44049	1.77265	0.45795	0.653168	0.357097	0.436786	0.0257567	0.0316959	0.00818839	0.011679	0.00638509	0.00780996	0.245607	0.754393	0.1099077	0.0001663762	9.98056	7.93836	1.9189	0	1.736215	7.206661	0	0	1	1	2.243597	0.7543935	0.2456065	32.98162	0.01788054	9.996313	0.751505	0.921508	1.05428	1.27271
3000	-25846.35	-25820.8	-25.55387	11.02512	0.253677	0.247045	0.249366	0.249912	0.1275791	1.51986	1.94421	0.420895	0.703605	0.317074	0.583837	0.0251357	0.0321537	0.00696085	0.0116364	0.00524383	0.0096556	0.341033	0.658967	0.1320325	0.004296985	10.1431	8.11695	1.97482	0	0.9430944	8.297611	0	1	1	1	2.05491	0.6589668	0.3410332	49.35022	0.0165382	10.03522	0.647308	0.878135	1.07033	1.40422
3100	-25844.22	-25820.39	-23.83794	48.62323	0.24848	0.251368	0.250317	0.249835	0.04565179	1.31576	1.58188	0.502612	0.596956	0.310933	1.92205	0.0194451	0.0233779	0.00742788	0.00882216	0.00459514	0.0284052	0.252066	0.747934	0.01821411	0.006564227	10.1045	7.82683	2.02496	0	1.083364	8.705247	0	1	1	1	2.219523	0.7479335	0.2520665	33.40328	0.01477857	10.39456	0.824054	0.947751	1.04051	1.18769
3200	-25838.12	-25818.05	-20.0722	31.603	0.244381	0.247911	0.255808	0.2519	0.03196433	1.28734	1.19764	0.43889	0.592454	0.340365	0.743679	0.0230965	0.0214872	0.00787422	0.0106293	0.00610656	0.0133425	0.779118	0.220882	4.074153e-06	0.006547976	10.0696	8.01401	1.92883	0	0.6261681	7.840709	0	0	1	1	1.951373	0.2208815	0.7791185	99.93465	0.01794121	10.00069	0.783817	0.933568	1.04838	1.23423
3300	-25845.74	-25823.1	-22.63931	5.544241	0.246723	0.249926	0.253018	0.250334	0.03026394	1.32815	1.71725	0.404598	0.801149	0.251851	2.17642	0.0248666	0.0321518	0.00757521	0.0149998	0.00471535	0.0407486	0.405375	0.594625	1.669236e-05	0.001782743	10.1371	7.91987	1.94783	0	0.8834246	8.347085	0	1	1	1	2.098128	0.5946254	0.4053746	22.82451	0.01872281	8.819929	0.523223	0.815933	1.08225	1.5786
3400	-25844.57	-25822.28	-22.28301	34.71003	0.237675	0.251801	0.25333	0.257193	0.08116028	1.63794	1.88672	0.512233	0.969542	0.425567	0.290089	0.0266425	0.0306892	0.00833192	0.0157704	0.00692222	0.00471855	0.407342	0.592658	0.02205421	0.001752005	9.96654	7.79407	1.97772	0	0.7294101	6.87237	0	0	1	1	2.017324	0.592658	0.407342	34.17042	0.01626586	7.952527	0.79325	0.936975	1.04659	1.22319
